timestamp,estacao,geolocalizacao,equipamento_id,tipo_equipamento,vibracao,impacto,temperatura,velocidade_corrente,abertura_porta,posicao,torque,desalinhamento,contagem_pessoas,travamento,posicao_suspeita
2026-03-23 23:50:06,Guariroba,"-15.8306,-48.1022",Elevador_3,Elevador,0.72,Nenhum,22.2,1.31,Fechada,Andar 6,23.45,Nenhum,3,Não,Não
2026-03-23 23:55:06,Ceilândia Sul,"-15.8378,-48.0933",Elevador_4,Elevador,2.11,Nenhum,21.1,2.21,Aberta,Andar 6,29.93,Nenhum,0,Não,Não
2026-03-24 00:00:06,Samambaia Sul,"-15.8753,-48.0817",Escada_Rolante_4,Escada_Rolante,1.6,Leve,28.0,1.08,N/A,Em movimento,22.82,Nenhum,2,Não,Não
2026-03-24 00:05:06,Arniqueiras,"-15.8378,-48.0169",Elevador_4,Elevador,0.33,Nenhum,21.4,2.39,Aberta,Andar 8,37.42,Nenhum,2,Não,Não
2026-03-24 00:10:06,112 Sul,"-15.8347,-47.9133",Elevador_2,Elevador,0.55,Nenhum,26.1,2.34,Aberta,Andar 8,31.26,Nenhum,5,Não,Não
2026-03-24 00:15:06,106 Sul,"-15.8164,-47.8997",Escada_Rolante_2,Escada_Rolante,1.77,Nenhum,21.6,0.92,N/A,Em movimento,38.68,Nenhum,8,Não,Não
2026-03-24 00:20:06,102 Sul,"-15.8044,-47.8903",Elevador_3,Elevador,2.4,Nenhum,28.3,2.1,Fechada,Andar 4,48.13,Nenhum,5,Não,Não
2026-03-24 00:25:06,Concessionárias,"-15.8361,-48.0381",Elevador_2,Elevador,0.29,Leve,23.2,1.35,Aberta,Andar 9,36.09,Nenhum,4,Não,Não
2026-03-24 00:30:06,Ceilândia Norte,"-15.8142,-48.1189",Elevador_3,Elevador,6.77,Forte,45.3,0.88,Forçada,Entre andares,102.27,Crítico,8,Sim,Sim
2026-03-24 00:35:06,108 Sul,"-15.8228,-47.9042",Elevador_1,Elevador,1.66,Leve,20.7,1.35,Fechada,Andar 3,27.25,Nenhum,2,Não,Não
2026-03-24 00:40:06,Águas Claras,"-15.8406,-48.0264",Elevador_1,Elevador,1.96,Nenhum,26.4,1.9,Aberta,Andar 7,39.26,Nenhum,6,Não,Não
2026-03-24 00:45:06,108 Sul,"-15.8228,-47.9042",Escada_Rolante_2,Escada_Rolante,0.71,Nenhum,28.6,1.06,N/A,Em movimento,35.02,Nenhum,4,Não,Não
2026-03-24 00:50:06,Concessionárias,"-15.8361,-48.0381",Elevador_1,Elevador,2.25,Nenhum,25.3,1.21,Fechada,Andar 1,21.67,Nenhum,8,Não,Não
